year,ALB,AUT,BEL,BGR,BIH,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,MLT,MNE,NLD,NOR,POL,PRT,ROU,SRB,SVK,SVN,SWE,TUR,UKR
2000,0.3609285779382603,0.6221676975736506,0.5098195682049919,0.3856146215617165,0.3464157621146767,0.4119868121316131,,0.21080349948198457,0.34246575342465757,0.2853881278538813,0.5806786890128938,0.42931618248693093,0.6071517175252616,0.19776326904463648,0.4233257229832572,0.6819274212929585,0.4097012615122668,0.3768465799124273,0.2127042798033482,0.37682315910803743,0.4233822863959851,,,0.4394360113538196,0.6048445567657735,0.47232015501789704,0.32990809307702884,0.27565135643298416,0.4933077794981364,0.3126566670731542,0.5192805917114892,0.2558555386892764,0.5434857782447451,1.1564655323979887,0.31543624161073824,0.2756154409186986
2001,0.27929932402492713,0.5995333757766202,0.45353572750833027,0.39220050143526763,0.27235595322933986,0.45843420877897295,,0.23447488584474885,0.29057700290577004,0.3995433789954338,0.5151811658660974,0.4796886262771256,0.6327947632774721,0.13086792568814917,0.44235159817351594,0.6771084238134647,0.28586777176624073,0.3971193869143605,0.2123531272392568,0.36130691138005944,0.39722796588265696,,,0.36183820807108474,0.5224926485909358,0.5133674253464402,0.4063035238449272,0.2782650788607298,0.49660748642440083,0.3546298375626918,0.4782598506153799,0.36813470373655643,0.5462152245506955,1.2947625244797505,0.23480404179805328,0.2941462644255616
2002,0.27592101996499135,0.6068618363924587,0.3702332469455757,0.3987863813088187,0.258344931995214,0.37634574570711943,,0.28447488584474884,0.33208800332088,0.228310502283105,0.4150259737858873,0.3878813170722309,0.6295554560928357,0.16617050639058273,0.4613774733637747,0.6895767854671965,0.4337899543378995,0.3327684766130355,0.18393285371702636,0.3923394068360154,0.3356373039975876,,,0.3393804763667777,0.5551230322765348,0.5032104784363601,0.22451108393951325,0.2934532457253047,0.4986127671946472,0.37917393632641777,0.3984684671680356,0.1905490405212985,0.4679892794065253,1.0989903838341415,0.3141157850013,0.23535123733584454
2003,0.38379105425084925,0.4984442951787376,0.25633042756330426,0.3407246587454429,0.2276264828022302,0.34943159264182017,,0.15724772144299512,0.21793275217932753,0.3710045662100457,0.3691379007749933,0.3753403261782373,0.5116042945607592,0.2557461340700664,0.3614916286149163,0.7005475498626184,0.2844368340943683,0.30548421720137947,0.16831341372477368,0.34037116166059234,0.26728213578013266,,,0.22213994816734542,0.44684365199877385,0.3640332531632333,0.4525625349719188,0.24225103631335543,0.4388307799779781,0.25016390048652565,0.3466012442219159,0.3658154857882902,0.3796665373219169,1.0816591185434923,0.3206220703419231,0.22584135561530402
2004,0.42943744166533104,0.5512423024302938,0.3145761365892396,0.44378039439229033,0.19526526321028206,0.4863778985229969,,0.22709584542366784,0.28019925280199254,0.6278538812785388,0.5736164337884317,0.3816813699553018,0.5626668662824065,0.24757791095890413,0.4768427919112851,0.7002668857505193,0.2996575342465753,0.35050337092865036,0.23108820574105782,0.4369032793690328,0.3489649566183217,,,0.2931013204985808,0.4647252114228219,0.44418960440404553,0.28349227168375263,0.3002630953056335,0.5334058902839902,0.29215763400771866,0.47984210476967365,0.2781751196679224,0.42101545514487115,1.0554825795959217,0.4160324708269914,0.2873255523432202
2005,0.4221308770705861,0.5405135542460183,0.31311154598825836,0.4451906348160156,0.26734276436116605,0.4502541618035506,,0.26635218014146295,0.23868825238688252,0.5022831050228311,0.5184566661400857,0.3300032731172076,0.54227886355051,0.26608545661151933,0.470955642530985,0.6889839691869163,0.3079557428872497,0.29641518815481066,0.24713489642789194,0.44003434414393316,0.3113108828006088,,0.31510902164221444,0.2715043810934222,0.5690066018990146,0.4635956376687054,0.1360928461558555,0.36678619478381835,0.57309539209924,0.3317368764376695,0.40356213357213816,0.16392048826969907,0.5098052232154612,0.9681183791814554,0.34991866018212475,0.3022211074391722
2006,0.42668765929096464,0.5178206650848602,0.3833653394785132,0.4330922564440565,0.2621083572841626,0.42341104080922254,,0.2865903534318484,0.2917300862506342,0.3082191780821918,0.42849940648216917,0.3606825292498808,0.5554150681604174,0.30354743889060787,0.43273227099058803,0.7158503044794403,0.3533314795301096,0.31217436893951056,0.20053896737062404,0.3873473051555243,0.3723073341654993,,0.2955202507362676,0.3270393681352585,0.49735740468340683,0.4246666833013117,0.3136676174044892,0.3335496322754438,0.5198429478324444,0.31444517831664964,0.40626564119273567,0.2295929468027862,0.43402204798205246,0.9567532689070022,0.38664258596468043,0.31501422081798675
2007,0.2187387217750161,0.5271904955422515,0.40369240348692403,0.2960762658021151,0.17339876273600052,0.3010892793997817,,0.2329480593607306,0.35514967021816335,0.4982191780821918,0.5217287270843085,0.36876663803822995,0.5918570931705914,0.1572567529048809,0.4892204827136334,0.5450448958706708,0.3251844046364594,0.2759913415937563,0.20314543795186452,0.41790748461385746,0.3903353682602244,,0.2168274296830672,0.33012464519313833,0.5518694341727979,0.49177454965126194,0.2871442880719613,0.2878847758619073,0.4752965440905019,0.31776424192060676,0.36623606139713466,0.24052663786935094,0.4551856013570934,1.0875293101320498,0.30552895768031757,0.2479463300413008
2008,0.2974931287470658,0.5451380839592292,0.42122464930684106,0.35419712310718865,0.1617465811342086,0.3702678740730491,,0.2245757729053787,0.3297818366311517,0.6371689497716896,0.6257013856589998,0.40544580167025146,0.5686344539685083,0.15265041118011735,0.47665637031068137,0.7550063061815159,0.4723895523553057,0.3460151071988635,0.23106315996004564,0.3990470518165575,0.44188417372736793,,0.25988895193320904,0.31469825990373934,0.5656262112367625,0.44426829167595594,0.19359629787439053,0.30854843756953027,0.4803512820376826,0.2825434797206554,0.446601908293429,0.2045339944533154,0.4821811276349534,1.1091433770256478,0.27463468503584715,0.27699389470542285
2009,0.4069372592098798,0.5826984893591265,0.340390203403902,0.45404476085180806,0.1970720441369679,0.470124257261137,,0.26745650651906844,0.24099441907661084,0.5216568819308546,0.46046961546558646,0.36127420815213906,0.5072352520370969,0.24421367015976259,0.49169682088394934,0.747600791476408,0.43990457791827653,0.40567741362359994,0.2569312155156012,0.41725712486222644,0.35338045117200284,,0.3497271081570344,0.30235715167222016,0.507368821085821,0.4876504960415229,0.23396070851999598,0.27890467336300867,0.528968741629846,0.3173647503698601,0.5029860666581316,0.23069510581525315,0.45438586903720973,1.087778658783895,0.2820612000161902,0.2859690451222481
